,Date,EURUSD,USDCAD
Th,08/04/2022,1.0166,1.2843
We,08/03/2022,1.0166,1.2881
Tu,08/02/2022,1.0262,1.2844
Mo,08/01/2022,1.0213,1.281
Fr,07/29/2022,1.0197,1.2807
Th,07/28/2022,1.0201,1.2825
We,07/27/2022,1.0117,1.2887
Tu,07/26/2022,1.022,1.2847
Mo,07/25/2022,1.0216,1.2898
Fr,07/22/2022,1.023,1.2868
Th,07/21/2022,1.018,1.2884
We,07/20/2022,1.0227,1.287
Tu,07/19/2022,1.0143,1.2977
Mo,07/18/2022,1.0065,1.3038
Fr,07/15/2022,1.0018,1.3118
Th,07/14/2022,1.006,1.2974
We,07/13/2022,1.0038,1.3022
Tu,07/12/2022,1.004,1.3007
Mo,07/11/2022,1.0181,1.2958
Fr,07/08/2022,1.016,1.2967
Th,07/07/2022,1.0182,1.3042
We,07/06/2022,1.0267,1.3033
Tu,07/05/2022,1.0422,1.2862
Mo,07/04/2022,1.0423,1.2908
Fr,07/01/2022,1.0484,1.2873
Th,06/30/2022,1.0442,1.2894
We,06/29/2022,1.0519,1.2875
Tu,06/28/2022,1.0584,1.2877
Mo,06/27/2022,1.0551,1.2892
Fr,06/24/2022,1.0523,1.2997
Th,06/23/2022,1.0566,1.2946
We,06/22/2022,1.0533,1.2922
Tu,06/21/2022,1.0511,1.2981
Mo,06/20/2022,1.0483,1.303
Fr,06/17/2022,1.0549,1.295
Th,06/16/2022,1.0443,1.2891
We,06/15/2022,1.0416,1.295
Tu,06/14/2022,1.0409,1.2899
Mo,06/13/2022,1.0523,1.2773
Fr,06/10/2022,1.0617,1.2699
Th,06/09/2022,1.0716,1.256
We,06/08/2022,1.0703,1.2532
Tu,06/07/2022,1.0696,1.258
Mo,06/06/2022,1.0729,1.2587
Fr,06/03/2022,1.0747,1.257
Th,06/02/2022,1.065,1.2657
We,06/01/2022,1.0734,1.2647
Tu,05/31/2022,1.0779,1.2655
Mo,05/30/2022,1.073,1.2724
Fr,05/27/2022,1.0725,1.2773
Th,05/26/2022,1.0681,1.2816
We,05/25/2022,1.0736,1.2819
Tu,05/24/2022,1.0691,1.2767
Mo,05/23/2022,1.0559,1.2847
Fr,05/20/2022,1.0588,1.2825
Th,05/19/2022,1.0465,1.289
We,05/18/2022,1.055,1.2811
Tu,05/17/2022,1.0434,1.2846
Mo,05/16/2022,1.0407,1.2923
Fr,05/13/2022,1.038,1.3046
Th,05/12/2022,1.0513,1.2992
We,05/11/2022,1.0529,1.3027
Tu,05/10/2022,1.0561,1.3011
Mo,05/09/2022,1.055,1.2892
Fr,05/06/2022,1.0542,1.2834
Th,05/05/2022,1.0622,1.2747
We,05/04/2022,1.0521,1.2841
Tu,05/03/2022,1.0507,1.288
Mo,05/02/2022,1.0552,1.2846
Fr,04/29/2022,1.0499,1.2808
Th,04/28/2022,1.0557,1.2819
We,04/27/2022,1.0638,1.2826
Tu,04/26/2022,1.0713,1.2735
Mo,04/25/2022,1.0807,1.2697
Fr,04/22/2022,1.0835,1.2581
Th,04/21/2022,1.0853,1.2499
We,04/20/2022,1.0788,1.2618
Tu,04/19/2022,1.0782,1.2615
Mo,04/18/2022,1.0811,1.2614
Fr,04/15/2022,1.0828,1.2603
Th,04/14/2022,1.0887,1.2567
We,04/13/2022,1.0828,1.2645
Tu,04/12/2022,1.0884,1.2631
Mo,04/11/2022,1.0923,1.2568
Fr,04/08/2022,1.0879,1.2591
Th,04/07/2022,1.0896,1.2544
We,04/06/2022,1.0905,1.2487
Tu,04/05/2022,1.0972,1.2485
Mo,04/04/2022,1.1042,1.2519
Fr,04/01/2022,1.1067,1.2505
Th,03/31/2022,1.1159,1.2481
We,03/30/2022,1.1086,1.2498
Tu,03/29/2022,1.0984,1.2518
Mo,03/28/2022,1.099,1.2483
Fr,03/25/2022,1.0997,1.2526
Th,03/24/2022,1.1004,1.2562
We,03/23/2022,1.1029,1.257
Tu,03/22/2022,1.1016,1.2593
Mo,03/21/2022,1.1034,1.2608
Fr,03/18/2022,1.1091,1.2628
Th,03/17/2022,1.1036,1.2677
We,03/16/2022,1.0956,1.2766
Tu,03/15/2022,1.094,1.2824
Mo,03/14/2022,1.0898,1.2734
Fr,03/11/2022,1.0986,1.2769
Th,03/10/2022,1.1076,1.2809
We,03/09/2022,1.0899,1.2885
Tu,03/08/2022,1.0854,1.282
Mo,03/07/2022,1.0942,1.2741
Fr,03/04/2022,1.1067,1.2681
Th,03/03/2022,1.1119,1.2631
We,03/02/2022,1.1125,1.2743
Tu,03/01/2022,1.1219,1.2675
Mo,02/28/2022,1.1198,1.2755
Fr,02/25/2022,1.1192,1.2816
Th,02/24/2022,1.1307,1.2734
We,02/23/2022,1.1325,1.277
Tu,02/22/2022,1.1312,1.2753
Mo,02/21/2022,1.1336,1.2749
Fr,02/18/2022,1.1361,1.2708
Th,02/17/2022,1.1373,1.2687
We,02/16/2022,1.1359,1.2718
Tu,02/15/2022,1.1307,1.273
Mo,02/14/2022,1.1344,1.2736
Fr,02/11/2022,1.1428,1.2719
Th,02/10/2022,1.1425,1.267
We,02/09/2022,1.1415,1.2708
Tu,02/08/2022,1.1442,1.2667
Mo,02/07/2022,1.1447,1.2758
Fr,02/04/2022,1.144,1.2678
Th,02/03/2022,1.1304,1.2669
We,02/02/2022,1.1272,1.2687
Tu,02/01/2022,1.1235,1.2708
Mo,01/31/2022,1.115,1.2774
Fr,01/28/2022,1.1146,1.2742
Th,01/27/2022,1.124,1.267
We,01/26/2022,1.1301,1.2629
Tu,01/25/2022,1.1326,1.2638
Mo,01/24/2022,1.1338,1.2573
Fr,01/21/2022,1.1312,1.2503
Th,01/20/2022,1.1343,1.2515
We,01/19/2022,1.1325,1.2514
Tu,01/18/2022,1.1408,1.2516
Mo,01/17/2022,1.141,1.2541
Fr,01/14/2022,1.1455,1.252
Th,01/13/2022,1.1442,1.2509
We,01/12/2022,1.1367,1.2574
Tu,01/11/2022,1.1326,1.2679
Mo,01/10/2022,1.1351,1.2644
Fr,01/07/2022,1.1297,1.2729
Th,01/06/2022,1.1314,1.2756
We,01/05/2022,1.1287,1.2708
Tu,01/04/2022,1.1297,1.2744
Mo,01/03/2022,1.1356,1.2637
Fr,12/31/2021,1.1325,1.2741
Th,12/30/2021,1.1349,1.2791
We,12/29/2021,1.131,1.2822
Tu,12/28/2021,1.1328,1.2789
Mo,12/27/2021,1.1318,1.2811
Fr,12/24/2021,1.1327,1.281
Th,12/23/2021,1.1326,1.2836
We,12/22/2021,1.1285,1.2913
Tu,12/21/2021,1.1279,1.294
Mo,12/20/2021,1.1245,1.2887
Fr,12/17/2021,1.133,1.2775
Th,12/16/2021,1.1289,1.2834
We,12/15/2021,1.1259,1.2862
Tu,12/14/2021,1.1284,1.2806
Mo,12/13/2021,1.1305,1.2728
Fr,12/10/2021,1.1293,1.2713
Th,12/09/2021,1.1342,1.2654
We,12/08/2021,1.1267,1.2639
Tu,12/07/2021,1.1286,1.2756
Mo,12/06/2021,1.1309,1.2834
Fr,12/03/2021,1.1301,1.281
Th,12/02/2021,1.132,1.2818
We,12/01/2021,1.1338,1.2779
Tu,11/30/2021,1.1291,1.2741
Mo,11/29/2021,1.1318,1.2773
Fr,11/26/2021,1.1209,1.2648
Th,11/25/2021,1.1199,1.2668
We,11/24/2021,1.1248,1.2669
Tu,11/23/2021,1.1237,1.27
Mo,11/22/2021,1.1307,1.2647
Fr,11/19/2021,1.1371,1.2602
Th,11/18/2021,1.1319,1.261
We,11/17/2021,1.132,1.2558
Tu,11/16/2021,1.1368,1.2516
Mo,11/15/2021,1.1453,1.2545
Fr,11/12/2021,1.1451,1.2579
Th,11/11/2021,1.1479,1.2491
We,11/10/2021,1.1593,1.2438
Tu,11/09/2021,1.1587,1.2442
Mo,11/08/2021,1.1553,1.2448
Fr,11/05/2021,1.1554,1.2456
Th,11/04/2021,1.1612,1.2391
We,11/03/2021,1.1579,1.2411
Tu,11/02/2021,1.1606,1.2369
Mo,11/01/2021,1.1557,1.2385
Fr,10/29/2021,1.1681,1.2346
Th,10/28/2021,1.1603,1.2359
We,10/27/2021,1.1596,1.239
Tu,10/26/2021,1.1608,1.2382
Mo,10/25/2021,1.1638,1.2374
Fr,10/22/2021,1.1623,1.2368
Th,10/21/2021,1.1651,1.2321
We,10/20/2021,1.1633,1.2363
Tu,10/19/2021,1.161,1.2379
Mo,10/18/2021,1.1604,1.237
Fr,10/15/2021,1.1597,1.237
Th,10/14/2021,1.1594,1.2443
We,10/13/2021,1.153,1.2468
Tu,10/12/2021,1.1552,1.2483
Mo,10/11/2021,1.1566,1.2476
Fr,10/08/2021,1.1552,1.2551
Th,10/07/2021,1.1556,1.259
We,10/06/2021,1.1598,1.2583
Tu,10/05/2021,1.1621,1.2589
Mo,10/04/2021,1.1596,1.265
Fr,10/01/2021,1.158,1.2681
Th,09/30/2021,1.1598,1.2757
We,09/29/2021,1.1683,1.2687
Tu,09/28/2021,1.1695,1.2628
Mo,09/27/2021,1.1716,1.2647
Fr,09/24/2021,1.1739,1.2655
Th,09/23/2021,1.1687,1.2772
We,09/22/2021,1.1726,1.282
Tu,09/21/2021,1.1726,1.2822
Mo,09/20/2021,1.1734,1.275
Fr,09/17/2021,1.1767,1.2683
Th,09/16/2021,1.1817,1.263
We,09/15/2021,1.1803,1.2694
Tu,09/14/2021,1.1811,1.2648
Mo,09/13/2021,1.1815,1.268
Fr,09/10/2021,1.1825,1.2664
Th,09/09/2021,1.1816,1.2691
We,09/08/2021,1.184,1.2647
Tu,09/07/2021,1.187,1.2534
Mo,09/06/2021,1.1882,1.2525
Fr,09/03/2021,1.1875,1.2553
Th,09/02/2021,1.1839,1.262
We,09/01/2021,1.1809,1.2616
Tu,08/31/2021,1.1797,1.2606
Mo,08/30/2021,1.1791,1.2623
Fr,08/27/2021,1.1752,1.2687
Th,08/26/2021,1.1772,1.2591
We,08/25/2021,1.1756,1.2589
Tu,08/24/2021,1.1745,1.2654
Mo,08/23/2021,1.1694,1.2801
Fr,08/20/2021,1.1675,1.2828
Th,08/19/2021,1.1711,1.2658
We,08/18/2021,1.171,1.2629
Tu,08/17/2021,1.1778,1.2574
Mo,08/16/2021,1.1784,1.2518
Fr,08/13/2021,1.173,1.2526
Th,08/12/2021,1.1739,1.2504
We,08/11/2021,1.172,1.252
Tu,08/10/2021,1.1737,1.2576
Mo,08/09/2021,1.1759,1.255
Fr,08/06/2021,1.1834,1.2506
Th,08/05/2021,1.1837,1.254
We,08/04/2021,1.1864,1.2539
Tu,08/03/2021,1.1869,1.251
Mo,08/02/2021,1.1869,1.2481
Fr,07/30/2021,1.1887,1.2448
Th,07/29/2021,1.1845,1.2528
We,07/28/2021,1.1817,1.2602
Tu,07/27/2021,1.1803,1.2551
Mo,07/26/2021,1.1777,1.2565
Fr,07/23/2021,1.1771,1.2563
Th,07/22/2021,1.1794,1.2556
We,07/21/2021,1.1781,1.2682
Tu,07/20/2021,1.18,1.275
Mo,07/19/2021,1.1803,1.2605
Fr,07/16/2021,1.1812,1.2595
Th,07/15/2021,1.1837,1.2509
We,07/14/2021,1.1776,1.2514
Tu,07/13/2021,1.1861,1.2453
Mo,07/12/2021,1.1872,1.2468
Fr,07/09/2021,1.1845,1.2534
Th,07/08/2021,1.179,1.2481
We,07/07/2021,1.1823,1.2461
Tu,07/06/2021,1.1864,1.2342
Mo,07/05/2021,1.1857,1.2326
Fr,07/02/2021,1.185,1.2437
Th,07/01/2021,1.1858,1.2398
We,06/30/2021,1.1897,1.2401
Tu,06/29/2021,1.1925,1.2337
Mo,06/28/2021,1.1937,1.2299
Fr,06/25/2021,1.1932,1.2324
Th,06/24/2021,1.1926,1.2306
We,06/23/2021,1.194,1.2306
Tu,06/22/2021,1.1919,1.2363
Mo,06/21/2021,1.1883,1.2449
Fr,06/18/2021,1.1907,1.2358
Th,06/17/2021,1.1995,1.2277
We,06/16/2021,1.2126,1.2183
Tu,06/15/2021,1.212,1.2144
Mo,06/14/2021,1.2115,1.2161
Fr,06/11/2021,1.217,1.2096
Th,06/10/2021,1.218,1.2111
We,06/09/2021,1.2173,1.2111
Tu,06/08/2021,1.219,1.2082
Mo,06/07/2021,1.2151,1.2081
Fr,06/04/2021,1.2127,1.2107
Th,06/03/2021,1.2211,1.2035
We,06/02/2021,1.2213,1.2071
Tu,06/01/2021,1.2227,1.2064
Mo,05/31/2021,1.2182,1.2066
Fr,05/28/2021,1.2195,1.2066
Th,05/27/2021,1.2192,1.2123
We,05/26/2021,1.225,1.2067
Tu,05/25/2021,1.2215,1.2045
Mo,05/24/2021,1.2179,1.2065
Fr,05/21/2021,1.2228,1.2061
Th,05/20/2021,1.2175,1.2133
We,05/19/2021,1.2222,1.2066
Tu,05/18/2021,1.2153,1.2068
Mo,05/17/2021,1.2135,1.2112
Fr,05/14/2021,1.2081,1.2162
Th,05/13/2021,1.2072,1.2134
We,05/12/2021,1.2148,1.2102
Tu,05/11/2021,1.2129,1.2102
Mo,05/10/2021,1.2148,1.2141
Fr,05/07/2021,1.2065,1.2149
Th,05/06/2021,1.2005,1.2267
We,05/05/2021,1.2014,1.2309
Tu,05/04/2021,1.2064,1.2279
Mo,05/03/2021,1.2033,1.2287
Fr,04/30/2021,1.212,1.2283
Th,04/29/2021,1.2126,1.2314
We,04/28/2021,1.2091,1.2399
Tu,04/27/2021,1.2086,1.2398
Mo,04/26/2021,1.2096,1.2481
Fr,04/23/2021,1.2015,1.2506
Th,04/22/2021,1.2035,1.2497
We,04/21/2021,1.2036,1.2609
Tu,04/20/2021,1.2037,1.2536
Mo,04/19/2021,1.1981,1.2503
Fr,04/16/2021,1.1967,1.2543
Th,04/15/2021,1.198,1.2521
We,04/14/2021,1.1948,1.2535
Tu,04/13/2021,1.191,1.2563
Mo,04/12/2021,1.1908,1.254
Fr,04/09/2021,1.1914,1.2562
Th,04/08/2021,1.1867,1.2609
We,04/07/2021,1.1876,1.2566
Tu,04/06/2021,1.1813,1.2525
Mo,04/05/2021,1.1759,1.2573
Fr,04/02/2021,1.1777,1.2548
Th,04/01/2021,1.173,1.2562
We,03/31/2021,1.1717,1.2634
Tu,03/30/2021,1.1765,1.2591
Mo,03/29/2021,1.1797,1.2575
Fr,03/26/2021,1.1764,1.2613
Th,03/25/2021,1.1813,1.2579
We,03/24/2021,1.1849,1.2588
Tu,03/23/2021,1.1933,1.2522
Mo,03/22/2021,1.1879,1.2502
Fr,03/19/2021,1.1915,1.2487
Th,03/18/2021,1.1979,1.2405
We,03/17/2021,1.1903,1.2448
Tu,03/16/2021,1.1929,1.2472
Mo,03/15/2021,1.1952,1.2475
Fr,03/12/2021,1.1986,1.2533
Th,03/11/2021,1.1929,1.2618
We,03/10/2021,1.1901,1.2638
Tu,03/09/2021,1.1847,1.2664
Mo,03/08/2021,1.1915,1.2665
Fr,03/05/2021,1.1969,1.2667
Th,03/04/2021,1.2063,1.2655
We,03/03/2021,1.2091,1.2635
Tu,03/02/2021,1.2049,1.2646
Mo,03/01/2021,1.207,1.2724
Fr,02/26/2021,1.2175,1.2603
Th,02/25/2021,1.2166,1.2512
We,02/24/2021,1.215,1.2587
Tu,02/23/2021,1.2157,1.2615
Mo,02/22/2021,1.2115,1.2617
Fr,02/19/2021,1.2092,1.2679
Th,02/18/2021,1.2038,1.2703
We,02/17/2021,1.2106,1.269
Tu,02/16/2021,1.2129,1.2639
Mo,02/15/2021,1.212,1.2696
Fr,02/12/2021,1.213,1.2705
Th,02/11/2021,1.2118,1.2701
We,02/10/2021,1.2119,1.2693
Tu,02/09/2021,1.205,1.2738
Mo,02/08/2021,1.2039,1.2769
Fr,02/05/2021,1.1964,1.2827
Th,02/04/2021,1.2036,1.2786
We,02/03/2021,1.2044,1.2781
Tu,02/02/2021,1.206,1.2851
Mo,02/01/2021,1.2134,1.2781
Fr,01/29/2021,1.2122,1.283
Th,01/28/2021,1.2111,1.2799
We,01/27/2021,1.216,1.2694
Tu,01/26/2021,1.2139,1.2739
Mo,01/25/2021,1.217,1.2717
Fr,01/22/2021,1.2164,1.2637
Th,01/21/2021,1.2106,1.2637
We,01/20/2021,1.2129,1.2735
Tu,01/19/2021,1.2077,1.2757
Mo,01/18/2021,1.2084,1.2735
Fr,01/15/2021,1.2155,1.264
Th,01/14/2021,1.2157,1.2698
We,01/13/2021,1.2207,1.2711
Tu,01/12/2021,1.2151,1.2785
Mo,01/11/2021,1.2222,1.2694
Fr,01/08/2021,1.2272,1.2691
Th,01/07/2021,1.2327,1.2677
We,01/06/2021,1.2297,1.2669
Tu,01/05/2021,1.2248,1.2778
Mo,01/04/2021,1.2225,1.2733
Fr,01/01/2021,1.2216,1.2725
Th,12/31/2020,1.2298,1.2759
We,12/30/2020,1.2248,1.2818
Tu,12/29/2020,1.2216,1.2853
Mo,12/28/2020,1.2191,1.2848
Fr,12/25/2020,1.2187,1.2863
Th,12/24/2020,1.2187,1.2848
We,12/23/2020,1.2163,1.2908
Tu,12/22/2020,1.2244,1.2857
Mo,12/21/2020,1.2237,1.2781
Fr,12/18/2020,1.2268,1.2721
Th,12/17/2020,1.22,1.2743
We,12/16/2020,1.2151,1.2701
Tu,12/15/2020,1.2144,1.2764
Mo,12/14/2020,1.2128,1.2776
Fr,12/11/2020,1.2138,1.2739
Th,12/10/2020,1.2081,1.2816
We,12/09/2020,1.2104,1.2819
Tu,12/08/2020,1.2109,1.2798
Mo,12/07/2020,1.2122,1.2781
Fr,12/04/2020,1.2144,1.2862
Th,12/03/2020,1.2115,1.2918
We,12/02/2020,1.2071,1.2936
Tu,12/01/2020,1.1927,1.3001
Mo,11/30/2020,1.1957,1.2998
Fr,11/27/2020,1.1913,1.3017
Th,11/26/2020,1.1917,1.3007
We,11/25/2020,1.1892,1.2998
Tu,11/24/2020,1.1841,1.3082
Mo,11/23/2020,1.1856,1.3089
Fr,11/20/2020,1.1875,1.3073
Th,11/19/2020,1.1854,1.3081
We,11/18/2020,1.1862,1.3105
Tu,11/17/2020,1.1852,1.3074
Mo,11/16/2020,1.1829,1.3129
Fr,11/13/2020,1.1806,1.3141
Th,11/12/2020,1.1777,1.3063
We,11/11/2020,1.1815,1.3033
Tu,11/10/2020,1.1813,1.3007
Mo,11/09/2020,1.1882,1.3065
Fr,11/06/2020,1.1826,1.3045
Th,11/05/2020,1.1725,1.3136
We,11/04/2020,1.1715,1.3143
Tu,11/03/2020,1.1641,1.3217
Mo,11/02/2020,1.1655,1.3316
Fr,10/30/2020,1.1674,1.3325
Th,10/29/2020,1.1746,1.3324
We,10/28/2020,1.1795,1.3185
Tu,10/27/2020,1.181,1.3212
Mo,10/26/2020,1.1845,1.3134
Fr,10/23/2020,1.1818,1.3136
Th,10/22/2020,1.186,1.3146
We,10/21/2020,1.1822,1.3129
Tu,10/20/2020,1.1769,1.3192
Mo,10/19/2020,1.172,1.3195
Fr,10/16/2020,1.1708,1.3221
Th,10/15/2020,1.1746,1.3146
We,10/14/2020,1.1746,1.3139
Tu,10/13/2020,1.1813,1.3114
Mo,10/12/2020,1.1812,1.313
Fr,10/09/2020,1.1759,1.3196
Th,10/08/2020,1.1763,1.3256
We,10/07/2020,1.1734,1.3312
Tu,10/06/2020,1.1783,1.3263
Mo,10/05/2020,1.1713,1.3301
Fr,10/02/2020,1.1748,1.3289
Th,10/01/2020,1.1721,1.3319
We,09/30/2020,1.1744,1.3388
Tu,09/29/2020,1.1666,1.337
Mo,09/28/2020,1.164,1.3392
Fr,09/25/2020,1.1672,1.3362
Th,09/24/2020,1.166,1.3386
We,09/23/2020,1.1708,1.3304
Tu,09/22/2020,1.1771,1.3308
Mo,09/21/2020,1.1847,1.3194
Fr,09/18/2020,1.1848,1.3167
Th,09/17/2020,1.1816,1.3178
We,09/16/2020,1.1847,1.3186
Tu,09/15/2020,1.1866,1.3176
Mo,09/14/2020,1.1842,1.3194
Fr,09/11/2020,1.1815,1.3192
Th,09/10/2020,1.1803,1.3146
We,09/09/2020,1.1777,1.3236
Tu,09/08/2020,1.1817,1.3098
Mo,09/07/2020,1.184,1.3056
Fr,09/04/2020,1.1852,1.3128
Th,09/03/2020,1.1855,1.3044
We,09/02/2020,1.1912,1.3064
Tu,09/01/2020,1.1936,1.3047
Mo,08/31/2020,1.1899,1.3108
Fr,08/28/2020,1.1822,1.3128
Th,08/27/2020,1.1831,1.3143
We,08/26/2020,1.1835,1.3174
Tu,08/25/2020,1.1788,1.3218
Mo,08/24/2020,1.179,1.318
Fr,08/21/2020,1.186,1.3186
Th,08/20/2020,1.1838,1.3216
We,08/19/2020,1.1931,1.3168
Tu,08/18/2020,1.187,1.3215
Mo,08/17/2020,1.1844,1.3248
Fr,08/14/2020,1.1814,1.3222
Th,08/13/2020,1.1784,1.3247
We,08/12/2020,1.174,1.33
Tu,08/11/2020,1.1738,1.335
Mo,08/10/2020,1.1788,1.3378
Fr,08/07/2020,1.1877,1.3307
Th,08/06/2020,1.1863,1.3266
We,08/05/2020,1.1803,1.3319
Tu,08/04/2020,1.1762,1.3391
Mo,08/03/2020,1.1784,1.3398
Fr,07/31/2020,1.1847,1.3424
Th,07/30/2020,1.1792,1.334
We,07/29/2020,1.1716,1.3379
Tu,07/28/2020,1.1752,1.3356
Mo,07/27/2020,1.1641,1.3428
Fr,07/24/2020,1.1596,1.341
Th,07/23/2020,1.157,1.3417
We,07/22/2020,1.1527,1.3458
Tu,07/21/2020,1.1448,1.3535
Mo,07/20/2020,1.1411,1.3576
Fr,07/17/2020,1.1384,1.3574
Th,07/16/2020,1.1412,1.3509
We,07/15/2020,1.14,1.3615
Tu,07/14/2020,1.1343,1.3609
Mo,07/13/2020,1.13,1.359
Fr,07/10/2020,1.1285,1.3586
Th,07/09/2020,1.133,1.3512
We,07/08/2020,1.1274,1.3603
Tu,07/07/2020,1.1309,1.3539
Mo,07/06/2020,1.1243,1.3553
Fr,07/03/2020,1.1239,1.3565
Th,07/02/2020,1.1251,1.3587
We,07/01/2020,1.1234,1.3576
Tu,06/30/2020,1.1242,1.3659
Mo,06/29/2020,1.1223,1.3668
Fr,06/26/2020,1.1218,1.3638
Th,06/25/2020,1.1251,1.3638
We,06/24/2020,1.1308,1.355
Tu,06/23/2020,1.1261,1.3522
Mo,06/22/2020,1.1192,1.36
Fr,06/19/2020,1.1205,1.36
Th,06/18/2020,1.1244,1.3565
We,06/17/2020,1.1264,1.3541
Tu,06/16/2020,1.1323,1.3572
Mo,06/15/2020,1.125,1.3597
Fr,06/12/2020,1.1299,1.3629
Th,06/11/2020,1.1374,1.3412
We,06/10/2020,1.134,1.3417
Tu,06/09/2020,1.1294,1.3382
Mo,06/08/2020,1.129,1.3435
Fr,06/05/2020,1.1338,1.35
Th,06/04/2020,1.1233,1.3495
We,06/03/2020,1.117,1.3519
Tu,06/02/2020,1.1136,1.3573
Mo,06/01/2020,1.1105,1.379
Fr,05/29/2020,1.1077,1.3763
Th,05/28/2020,1.1006,1.3752
We,05/27/2020,1.0982,1.3777
Tu,05/26/2020,1.0898,1.3985
Mo,05/25/2020,1.0897,1.4009
Fr,05/22/2020,1.095,1.3955
Th,05/21/2020,1.098,1.3901
We,05/20/2020,1.0923,1.3944
Tu,05/19/2020,1.0914,1.3937
Mo,05/18/2020,1.0823,1.4097
Fr,05/15/2020,1.0805,1.405
Th,05/14/2020,1.0818,1.4101
We,05/13/2020,1.0848,1.4078
